dataset,domain,gcm_institution,gcm,experiment,ensemble,rcm_institution,rcm,rcm_version,member_id_CICA,cdbaisimip,cdbals,cd,cddbaisimip,cdd,clt,dtrbaisimip,dtrbals,dtr,evspsbl,fdbaisimip,fdbals,fd,hdbaisimip,hdbals,hd,huss,pet,r01baisimip,r01,r10baisimip,r10,r20baisimip,r20,r,rlds,rsds,rx1day,rx5day,sdiibaisimip,sdii,sfcwind,spi6,spei6,t,tn,tnn,trbaisimip,trbals,tr,tx35baisimip,tx35bals,tx35,tx40baisimip,tx40bals,tx40,tx,txx
AFR-22_MOHC_HadGEM2-ES_historical_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,AFR-22,MOHC,HadGEM2-ES,historical,r1i1p1,GERICS,REMO2015,v1,MOHC_HadGEM2-ES_REMO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AFR-22_MOHC_HadGEM2-ES_rcp26_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,AFR-22,MOHC,HadGEM2-ES,rcp26,r1i1p1,GERICS,REMO2015,v1,MOHC_HadGEM2-ES_REMO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AFR-22_MOHC_HadGEM2-ES_rcp85_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,AFR-22,MOHC,HadGEM2-ES,rcp85,r1i1p1,GERICS,REMO2015,v1,MOHC_HadGEM2-ES_REMO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUS-22_MOHC_HadGEM2-ES_historical_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,AUS-22,MOHC,HadGEM2-ES,historical,r1i1p1,GERICS,REMO2015,v1,MOHC_HadGEM2-ES_REMO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUS-22_MOHC_HadGEM2-ES_rcp26_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,AUS-22,MOHC,HadGEM2-ES,rcp26,r1i1p1,GERICS,REMO2015,v1,MOHC_HadGEM2-ES_REMO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUS-22_MOHC_HadGEM2-ES_rcp85_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,AUS-22,MOHC,HadGEM2-ES,rcp85,r1i1p1,GERICS,REMO2015,v1,MOHC_HadGEM2-ES_REMO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CAM-22_MOHC_HadGEM2-ES_historical_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,CAM-22,MOHC,HadGEM2-ES,historical,r1i1p1,GERICS,REMO2015,v1,MOHC_HadGEM2-ES_REMO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CAM-22_MOHC_HadGEM2-ES_rcp26_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,CAM-22,MOHC,HadGEM2-ES,rcp26,r1i1p1,GERICS,REMO2015,v1,MOHC_HadGEM2-ES_REMO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CAM-22_MOHC_HadGEM2-ES_rcp85_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,CAM-22,MOHC,HadGEM2-ES,rcp85,r1i1p1,GERICS,REMO2015,v1,MOHC_HadGEM2-ES_REMO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EAS-22_MOHC_HadGEM2-ES_historical_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,EAS-22,MOHC,HadGEM2-ES,historical,r1i1p1,GERICS,REMO2015,v1,MOHC_HadGEM2-ES_REMO,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
