dataset,domain,gcm_institution,gcm,experiment,ensemble,rcm_institution,rcm,rcm_version,member_id_CICA,cdbaisimip,cdbals,cd,cddbaisimip,cdd,clt,dtrbaisimip,dtrbals,dtr,evspsbl,fdbaisimip,fdbals,fd,hdbaisimip,hdbals,hd,huss,mrro,pet,psl,r01baisimip,r01,r10baisimip,r10,r20baisimip,r20,r,rlds,rsds,rx1day,rx5day,sdiibaisimip,sdii,sfcwind,spi6,spei6,t,tn,tnn,trbaisimip,trbals,tr,tx35baisimip,tx35bals,tx35,tx40baisimip,tx40bals,tx40,tx,txx
EUR-11_CCCma_CanESM2_historical_r1i1p1_CLMcom_CCLM4-8-17_CLMcom-CCLM4-8-17-v1,EUR-11,CCCma,CanESM2,historical,r1i1p1,CLMcom,CCLM4-8-17,v1,CCCma_CanESM2_r1i1p1_CLMcom_CCLM4-8-17_v1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
EUR-11_CCCma_CanESM2_historical_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v1,EUR-11,CCCma,CanESM2,historical,r1i1p1,GERICS,REMO2015,v1,CCCma_CanESM2_r1i1p1_GERICS_REMO2015_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_CNRM-CERFACS_CNRM-CM5_historical_r1i1p1_CLMcom-ETH_COSMO-crCLIM-v1-1_CLMcom-ETH-COSMO-crCLIM-v1-1-v1,EUR-11,CNRM-CERFACS,CNRM-CM5,historical,r1i1p1,CLMcom-ETH,COSMO-crCLIM-v1-1,v1,CNRM-CERFACS_CNRM-CM5_r1i1p1_CLMcom-ETH_COSMO-crCLIM-v1-1_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_CNRM-CERFACS_CNRM-CM5_historical_r1i1p1_CLMcom_CCLM4-8-17_CLMcom-CCLM4-8-17-v1,EUR-11,CNRM-CERFACS,CNRM-CM5,historical,r1i1p1,CLMcom,CCLM4-8-17,v1,CNRM-CERFACS_CNRM-CM5_r1i1p1_CLMcom_CCLM4-8-17_v1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_CNRM-CERFACS_CNRM-CM5_historical_r1i1p1_CNRM_ALADIN63_CNRM-ALADIN63-v2,EUR-11,CNRM-CERFACS,CNRM-CM5,historical,r1i1p1,CNRM,ALADIN63,v2,CNRM-CERFACS_CNRM-CM5_r1i1p1_CNRM_ALADIN63_v2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_CNRM-CERFACS_CNRM-CM5_historical_r1i1p1_DMI_HIRHAM5_DMI-HIRHAM5-v2,EUR-11,CNRM-CERFACS,CNRM-CM5,historical,r1i1p1,DMI,HIRHAM5,v2,CNRM-CERFACS_CNRM-CM5_r1i1p1_DMI_HIRHAM5_v2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_CNRM-CERFACS_CNRM-CM5_historical_r1i1p1_GERICS_REMO2015_GERICS-REMO2015-v2,EUR-11,CNRM-CERFACS,CNRM-CM5,historical,r1i1p1,GERICS,REMO2015,v2,CNRM-CERFACS_CNRM-CM5_r1i1p1_GERICS_REMO2015_v2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_CNRM-CERFACS_CNRM-CM5_historical_r1i1p1_ICTP_RegCM4-6_ICTP-RegCM4-6-v1,EUR-11,CNRM-CERFACS,CNRM-CM5,historical,r1i1p1,ICTP,RegCM4-6,v1,CNRM-CERFACS_CNRM-CM5_r1i1p1_ICTP_RegCM4-6_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_CNRM-CERFACS_CNRM-CM5_historical_r1i1p1_IPSL_WRF381P_IPSL-WRF381P-v2,EUR-11,CNRM-CERFACS,CNRM-CM5,historical,r1i1p1,IPSL,WRF381P,v2,CNRM-CERFACS_CNRM-CM5_r1i1p1_IPSL_WRF381P_v2,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUR-11_CNRM-CERFACS_CNRM-CM5_historical_r1i1p1_KNMI_RACMO22E_KNMI-RACMO22E-v2,EUR-11,CNRM-CERFACS,CNRM-CM5,historical,r1i1p1,KNMI,RACMO22E,v2,CNRM-CERFACS_CNRM-CM5_r1i1p1_KNMI_RACMO22E_v2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
